dt,price_gbp,crypto
2020-01-27 00:00:00.000,2.2861368806949648e-05,ecomi
2020-01-28 00:00:00.000,2.3141139168386302e-05,ecomi
2020-01-29 00:00:00.000,2.7097990401114868e-05,ecomi
2020-01-30 00:00:00.000,2.591712138296759e-05,ecomi
2020-01-31 00:00:00.000,2.581434277954107e-05,ecomi
2020-02-01 00:00:00.000,2.3571169147617067e-05,ecomi
2020-02-02 00:00:00.000,2.5813609085084484e-05,ecomi
2020-02-03 00:00:00.000,2.349029543922596e-05,ecomi
2020-02-04 00:00:00.000,1.758290298943168e-05,ecomi
2020-02-05 00:00:00.000,2.0178938765625937e-05,ecomi
2020-02-06 00:00:00.000,2.4948769476123968e-05,ecomi
2020-02-07 00:00:00.000,2.12127173984699e-05,ecomi
2020-02-08 00:00:00.000,2.3816608520311265e-05,ecomi
2020-02-09 00:00:00.000,2.3507120948250252e-05,ecomi
2020-02-10 00:00:00.000,2.5889276227878914e-05,ecomi
2020-02-11 00:00:00.000,2.9737558708191596e-05,ecomi
2020-02-12 00:00:00.000,2.9963165466461805e-05,ecomi
2020-02-13 00:00:00.000,2.8208781961807915e-05,ecomi
2020-02-14 00:00:00.000,3.6179995469499245e-05,ecomi
2020-02-15 00:00:00.000,3.496432112023659e-05,ecomi
2020-02-16 00:00:00.000,3.446682178310582e-05,ecomi
2020-02-17 00:00:00.000,3.3163016968990246e-05,ecomi
2020-02-18 00:00:00.000,3.21278711144048e-05,ecomi
2020-02-19 00:00:00.000,3.9427631179971746e-05,ecomi
2020-02-20 00:00:00.000,3.615106147748736e-05,ecomi
2020-02-21 00:00:00.000,3.892343808713875e-05,ecomi
2020-02-22 00:00:00.000,4.368823118716569e-05,ecomi
2020-02-23 00:00:00.000,3.954840384285776e-05,ecomi
2020-02-24 00:00:00.000,4.029382549269309e-05,ecomi
2020-02-25 00:00:00.000,3.563429243103946e-05,ecomi
2020-02-26 00:00:00.000,3.920132845814252e-05,ecomi
2020-02-27 00:00:00.000,3.128793038629759e-05,ecomi
2020-02-28 00:00:00.000,3.034631206538236e-05,ecomi
2020-02-29 00:00:00.000,2.8636877314087332e-05,ecomi
2020-03-01 00:00:00.000,3.3498751232663685e-05,ecomi
2020-03-02 00:00:00.000,3.3384695653884924e-05,ecomi
2020-03-03 00:00:00.000,3.416414988657832e-05,ecomi
2020-03-04 00:00:00.000,3.482103417268421e-05,ecomi
2020-03-05 00:00:00.000,3.4323940408957456e-05,ecomi
2020-03-06 00:00:00.000,3.404364961892806e-05,ecomi
2020-03-07 00:00:00.000,3.151835837892013e-05,ecomi
2020-03-08 00:00:00.000,3.277326992090893e-05,ecomi
2020-03-09 00:00:00.000,3.1919844772232565e-05,ecomi
2020-03-10 00:00:00.000,2.9117341521764298e-05,ecomi
2020-03-11 00:00:00.000,3.093089306370613e-05,ecomi
2020-03-12 00:00:00.000,3.1541009995060364e-05,ecomi
2020-03-13 00:00:00.000,2.887333871232365e-05,ecomi
2020-03-14 00:00:00.000,2.6503472801427e-05,ecomi
2020-03-15 00:00:00.000,2.7509243913755452e-05,ecomi
2020-03-16 00:00:00.000,2.4210875766840344e-05,ecomi
2020-03-17 00:00:00.000,2.1708360643508343e-05,ecomi
2020-03-18 00:00:00.000,2.3088218854356644e-05,ecomi
2020-03-19 00:00:00.000,2.400619029724371e-05,ecomi
2020-03-20 00:00:00.000,2.1160080410355323e-05,ecomi
2020-03-21 00:00:00.000,2.2016544387839133e-05,ecomi
2020-03-22 00:00:00.000,1.9531902255021316e-05,ecomi
2020-03-23 00:00:00.000,1.994257247558737e-05,ecomi
2020-03-24 00:00:00.000,2.172765810198306e-05,ecomi
2020-03-25 00:00:00.000,2.114486284770397e-05,ecomi
2020-03-26 00:00:00.000,2.396524317015097e-05,ecomi
2020-03-27 00:00:00.000,2.4088915488835687e-05,ecomi
2020-03-28 00:00:00.000,2.5306286305253717e-05,ecomi
2020-03-29 00:00:00.000,2.5748486761367265e-05,ecomi
2020-03-30 00:00:00.000,2.4982240254026664e-05,ecomi
2020-03-31 00:00:00.000,2.471767784050516e-05,ecomi
2020-04-01 00:00:00.000,2.4073910287656167e-05,ecomi
2020-04-02 00:00:00.000,2.1074457765083504e-05,ecomi
2020-04-03 00:00:00.000,2.3146115258163743e-05,ecomi
2020-04-04 00:00:00.000,2.229009932471966e-05,ecomi
2020-04-05 00:00:00.000,2.174145652031717e-05,ecomi
2020-04-06 00:00:00.000,2.077660157865634e-05,ecomi
2020-04-07 00:00:00.000,2.0472595536171856e-05,ecomi
2020-04-08 00:00:00.000,1.977468159527556e-05,ecomi
2020-04-09 00:00:00.000,1.9224509031029558e-05,ecomi
2020-04-10 00:00:00.000,1.9113447341744022e-05,ecomi
2020-04-11 00:00:00.000,1.5027257177445166e-05,ecomi
2020-04-12 00:00:00.000,1.755957816268005e-05,ecomi
2020-04-13 00:00:00.000,1.838599012275928e-05,ecomi
2020-04-14 00:00:00.000,1.7412881030638732e-05,ecomi
2020-04-15 00:00:00.000,1.9009951915722557e-05,ecomi
2020-04-16 00:00:00.000,1.916887086663814e-05,ecomi
2020-04-17 00:00:00.000,1.919912669929199e-05,ecomi
2020-04-18 00:00:00.000,1.9180402675377928e-05,ecomi
2020-04-19 00:00:00.000,1.906639013986396e-05,ecomi
2020-04-20 00:00:00.000,1.598611160996395e-05,ecomi
2020-04-21 00:00:00.000,1.6022285435871296e-05,ecomi
2020-04-22 00:00:00.000,1.796601239677452e-05,ecomi
2020-04-23 00:00:00.000,1.934466882831218e-05,ecomi
2020-04-24 00:00:00.000,1.9244207278769812e-05,ecomi
2020-04-25 00:00:00.000,1.9178318562319693e-05,ecomi
2020-04-26 00:00:00.000,1.655219040825346e-05,ecomi
2020-04-27 00:00:00.000,1.2927607272327185e-05,ecomi
2020-04-28 00:00:00.000,1.8987151097508474e-05,ecomi
2020-04-29 00:00:00.000,2.136682012649898e-05,ecomi
2020-04-30 00:00:00.000,1.7858916470601825e-05,ecomi
2020-05-01 00:00:00.000,2.107445686120365e-05,ecomi
2020-05-02 00:00:00.000,2.148931815602948e-05,ecomi
2020-05-03 00:00:00.000,2.0756067482433916e-05,ecomi
2020-05-04 00:00:00.000,2.0890305016910653e-05,ecomi
2020-05-05 00:00:00.000,2.1366357412190164e-05,ecomi
2020-05-06 00:00:00.000,2.1430994419312197e-05,ecomi
2020-05-07 00:00:00.000,2.154723464187799e-05,ecomi
2020-05-08 00:00:00.000,2.1530559329629842e-05,ecomi
2020-05-09 00:00:00.000,2.159487116544312e-05,ecomi
2020-05-10 00:00:00.000,2.1757254787939545e-05,ecomi
2020-05-11 00:00:00.000,2.169957595118066e-05,ecomi
2020-05-12 00:00:00.000,2.407119744341242e-05,ecomi
2020-05-13 00:00:00.000,2.171895960888454e-05,ecomi
2020-05-14 00:00:00.000,2.53954137331876e-05,ecomi
2020-05-15 00:00:00.000,2.472698913080885e-05,ecomi
2020-05-16 00:00:00.000,2.674889751488694e-05,ecomi
2020-05-17 00:00:00.000,2.05219108685615e-05,ecomi
2020-05-18 00:00:00.000,2.317382902396042e-05,ecomi
2020-05-19 00:00:00.000,2.1330147025161723e-05,ecomi
2020-05-20 00:00:00.000,2.16206915059673e-05,ecomi
